,date,c13,o18
0,1680.08,-25.81,26.37
1,1680.25,-25.68,27.18
2,1680.42,-24.46,26.98
3,1680.58,-24.19,26.45
4,1680.75,-24.28,25.38
5,1680.92,-24.74,25.87
6,1681.08,-25.26,26.43
7,1681.25,-25.44,26.18
8,1681.42,-24.86,26.44
9,1681.58,-24.65,27.04
10,1681.75,-23.99,26.95
11,1681.92,-24.31,26.98
12,1682.08,-24.48,26.84
13,1682.25,-24.64,26.88
14,1682.42,-25.52,25.3
15,1682.58,-26.01,25.57
16,1682.75,-26.49,23.4
17,1682.92,-26.39,24.09
18,1683.08,-26.78,23.51
19,1683.25,-24.84,24.83
20,1683.42,-24.95,24.15
21,1683.58,-25.04,23.59
22,1683.75,-25.33,23.61
23,1683.92,-25.2,24.78
24,1684.25,-25.61,25.38
25,1684.42,-24.93,25.85
26,1684.42,-24.47,25.25
27,1684.58,-24.77,24.42
28,1684.75,-24.81,25.42
29,1684.92,-25.31,24.26
30,1685.08,-24.64,25.21
31,1685.25,-24.83,24.61
32,1685.42,-24.82,23.92
33,1685.58,-24.85,25.54
34,1685.75,-25.07,25.22
35,1685.92,-24.9,27.54
36,1686.08,-24.48,28.69
37,1686.25,-24.41,27.29
38,1686.42,-25.99,25.55
39,1686.58,-25.82,25.36
40,1686.75,-26.16,25.28
41,1686.92,-25.83,26.23
42,1687.08,-25.79,27.04
43,1687.25,-25.29,27.59
44,1687.42,-24.61,27.04
45,1687.58,-25.21,26.05
46,1687.75,-25.54,24.77
47,1687.92,-25.53,25.32
48,1688.08,-24.79,25.69
49,1688.25,-25.84,25.39
50,1688.42,-24.04,25.74
51,1688.58,-24.08,25.38
52,1688.75,-24.07,24.89
53,1688.92,-24.46,26.08
54,1689.08,-24.46,25.95
55,1689.25,-24.52,26.38
56,1689.42,-24.03,26.05
57,1689.58,-24.64,25.08
58,1689.75,-24.4,24.99
59,1689.92,-24.57,25.76
60,1690.08,-24.33,26.93
61,1690.25,-24.79,27.26
62,1690.42,-24.91,27.22
63,1690.58,-25.28,26.11
64,1690.75,-24.73,26.67
65,1690.92,-25.6,25.13
66,1691.08,-24.95,24.06
67,1691.25,-25.23,25.79
68,1691.42,-24.49,26.19
69,1691.58,-24.76,26.29
70,1691.75,-25.18,25.77
71,1691.92,-25.32,25.23
72,1692.1,-25.67,25.34
73,1692.3,-24.91,25.41
74,1692.5,-25.16,26.5
75,1692.7,-24.7,27.34
76,1692.9,-24.99,27.26
77,1693.08,-25.22,27.44
78,1693.25,-25.24,26.28
79,1693.42,-24.66,26.32
80,1693.58,-24.66,26.3
81,1693.75,-24.61,26.31
82,1693.92,-24.84,24.29
83,1698.08,-24.67,25.18
84,1698.25,-24.61,25.39
85,1698.42,-24.81,25.38
86,1698.58,-24.88,25.18
87,1698.75,-25.17,26.1
88,1698.92,-25.49,25.99
89,1699.1,-24.7,25.89
90,1699.3,-24.34,24.8
91,1699.5,-24.69,24.78
92,1699.7,-25.04,25.1
93,1699.9,-25.43,24.37
94,1700.08,-25.3,24.68
95,1700.25,-24.57,24.9
96,1700.42,-24.71,25.6
97,1700.58,-24.98,25.89
98,1700.75,-25.15,26.33
99,1700.92,-25.29,27.12
100,1701.13,-25.27,26.94
101,1701.38,-25.22,25.51
102,1701.63,-25.25,25.52
103,1701.88,-25.3,25.32
104,1702.17,-25.65,25.63
